run,dynamics_field,seed,cell,policy,success_rate,n_episodes,total_gene_actions,n_actions_replogle_essential,n_actions_replogle_only_essential,n_actions_depmap_essential,n_actions_non_essential,frac_actions_replogle_essential,frac_actions_replogle_only_essential,frac_actions_depmap_essential,frac_actions_non_essential,expected_random_frac_replogle_essential,expected_random_frac_replogle_only_essential,enrichment_replogle_essential_vs_random,enrichment_replogle_only_vs_random,unique_genes_selected
v2_anchor_seed42,v2_anchor,42,k5_bin8-10_splitood,PPO_A,1.0,200,601,0,0,0,601,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,20
v2_anchor_seed42,v2_anchor,42,k5_bin8-10_splitood,greedy_dyn_1_fused,1.0,200,550,0,0,13,537,0.0,0.0,0.023636363636363636,0.9763636363636363,0.05714285714285714,0.0380952380952381,0.0,0.0,19
v2_anchor_seed42,v2_anchor,42,k5_bin8-10_splitood,greedy_dyn_2_fused,1.0,200,576,0,0,0,576,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,23
v2_anchor_seed42,v2_anchor,42,k5_bin8-10_splitood,greedy_dyn_3_fused,1.0,200,576,9,9,0,567,0.015625,0.015625,0.0,0.984375,0.05714285714285714,0.0380952380952381,0.2734375,0.41015624999999994,26
v2_anchor_seed42,v2_anchor,42,k5_bin8-10_splitood,greedy_dyn_5_fused,1.0,200,576,0,0,0,576,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,24
v2_anchor_seed42,v2_anchor,42,k5_bin8-10_splitood,random_uniform_valid,0.31,200,904,52,38,37,829,0.05752212389380531,0.0420353982300885,0.04092920353982301,0.9170353982300885,0.05714285714285714,0.0380952380952381,1.0066371681415929,1.103429203539823,105
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,PPO_BCD,1.0,200,588,0,0,0,588,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,15
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,PPO_A,1.0,200,601,0,0,0,601,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,20
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,greedy_dyn_1_fused,1.0,200,550,0,0,13,537,0.0,0.0,0.023636363636363636,0.9763636363636363,0.05714285714285714,0.0380952380952381,0.0,0.0,19
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,greedy_dyn_2_fused,1.0,200,576,0,0,0,576,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,23
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,greedy_dyn_3_fused,1.0,200,576,9,9,0,567,0.015625,0.015625,0.0,0.984375,0.05714285714285714,0.0380952380952381,0.2734375,0.41015624999999994,26
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,greedy_dyn_5_fused,1.0,200,576,0,0,0,576,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,24
v2_anchor_seed42,v2_anchor,42,k8_bin8-10_splitood,random_uniform_valid,0.515,200,1245,54,41,47,1157,0.043373493975903614,0.03293172690763052,0.03775100401606426,0.9293172690763052,0.05714285714285714,0.0380952380952381,0.7590361445783133,0.8644578313253011,105
